oln_id	scer_gene_name	sgd_description	scer_uniprot_description	uniprot_acc	is_tf	is_kinases	peak_time	cneo_orthologs	cneo_ortholog_descriptions
									
YGL025C	PGD1	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor	Mediator of RNA polymerase II transcription subunit 3 (Hyper-recombination suppressor protein 1) (Mediator complex subunit 3) (Poly-glutamine domain protein 1)	P40356					
									
YGL023C	PIB2	Protein of unknown function; contains FYVE domain; similar to Fab1 and Vps27	Phosphatidylinositol 3-phosphate-binding protein 2	P53191					
									
YGL022W	STT3	Subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; forms a subcomplex with Ost3p and Ost4p and is directly involved in catalysis	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3 (Oligosaccharyl transferase subunit STT3) (EC 2.4.99.18) (Staurosporine and temperature sensitivity protein 3)	P39007					
									
YGL021W	ALK1	Protein kinase; along with its paralog, ALK2, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of cell polarity factors in mitosis, proper localization of formins and polarity factors, and survival in cells that activate spindle assembly checkpoint; phosphorylated in response to DNA damage; ALK1 has a paralog, ALK2, that arose from the whole genome duplication; similar to mammalian haspins	Serine/threonine-protein kinase Haspin homolog ALK1 (EC 2.7.11.1) (DNA damage-responsive protein ALK1)	P43633		TRUE	65		
									
YGL020C	GET1	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for normal mitochondrial morphology and inheritance	Golgi to ER traffic protein 1 (Guided entry of tail-anchored proteins 1) (Mitochondrial distribution and morphology protein 39)	P53192					
									
YGL019W	CKB1	Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases	Casein kinase II subunit beta (CK II beta)	P43639					
									
YGL018C	JAC1	Specialized J-protein that functions in Fe-S cluster biogenesis; functions with Hsp70 in Fe-S cluster biogenesis in mitochondria; involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix	J-type co-chaperone JAC1, mitochondrial (J-type accessory chaperone 1)	P53193					
									
YGL017W	ATE1	Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway	Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)	P16639					
									
YGL016W	KAP122	Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance	Importin beta-like protein KAP122 (Karyopherin-122) (Pleiotropic drug resistance regulatory protein 6)	P32767					
									
YGL015C		Putative protein of unknown function; null mutants accumulate cargo in the Golgi	Uncharacterized protein YGL015C	P33199					
									
YGL014W	PUF4	Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors	Pumilio homology domain family member 4	P25339					
									
YGL014C-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by expression profiling and mass spectrometry	Uncharacterized protein YGL014C-A	P0C5N1					
									
YGL013C	PDR1	Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog, PDR3, that arose from the whole genome duplication	Transcription factor PDR1 (Pleiotropic drug resistance protein 1)	P12383	TRUE				
									
YGL012W	ERG4	C-24(28) sterol reductase; catalyzes the final step in ergosterol biosynthesis; mutants are viable, but lack ergosterol	Delta(24(24(1)))-sterol reductase (EC 1.3.1.71) (C-24(28) sterol reductase) (Sterol Delta(24(28))-reductase)	P25340					
									
YGL011C	SCL1	Alpha 1 subunit of the 20S proteasome; involved in the degradation of ubiquitinated substrates; 20S proteasome is the core complex of the 26S proteasome; essential for growth; detected in the mitochondria	Proteasome subunit alpha type-1 (EC 3.4.25.1) (Macropain subunit C7-alpha) (Multicatalytic endopeptidase complex C7) (Proteasome component C7-alpha) (Proteasome component Y8) (Proteinase YSCE subunit 7) (SCL1 suppressor protein)	P21243					
									
YGL010W	MPO1	Protein involved in metabolism of phytosphingosine; not an essential gene	Uncharacterized endoplasmic reticulum membrane protein YGL010W	P25338					
									
YGL009C	LEU1	Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	P07264					
									
YGL008C	PMA1	Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging, buds emerge with very low levels of Pma1p, newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]	Plasma membrane ATPase 1 (EC 7.1.2.1) (Proton pump 1)	P05030					
									
YGL007C-A		Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; deletion exhibits slow-growth phenotype; computationally predicted to have a role in cell budding	Uncharacterized protein YGL007C-A	Q8TGU0					
									
YGL007W	BRP1	Putative protein of unknown function; conserved among S. cerevisiae strains; located in the upstream region of PMA1; deletion leads to polyamine resistance due to downregulation of PMA1	Uncharacterized protein BRP1	P53194					
									
ARS719		Autonomously Replicating Sequence							
									
YGL006W-A		Putative protein of unknown function; identified by SAGE	Uncharacterized protein YGL006W-A	Q3E802					
									
YGL006W	PMC1	Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a	Calcium-transporting ATPase 2 (EC 7.2.2.10) (Vacuolar Ca(2+)-ATPase)	P38929					
									
YGL005C	COG7	Component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments	Conserved oligomeric Golgi complex subunit 7 (COG complex subunit 7) (Complexed with DOR1 protein 5) (Component of oligomeric Golgi complex 7)	P53195					
									
YGL004C	RPN14	Evolutionarily conserved 19S regulatory particle assembly-chaperone; proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasome regulatory particle (RP); null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability; interacts with Rpt5p	26S proteasome regulatory subunit RPN14 (Proteasome non-ATPase subunit 14)	P53196					
									
YGL003C	CDH1	Activator of anaphase-promoting complex/cyclosome (APC/C); antagonist of the spindle assembly checkpoint; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including: Cdc20p, Ase1p, Cin8p, Fin1p and Clb5p; partially active in metaphase, and fully active in anaphase; cell-cycle regulated	APC/C activator protein CDH1 (CDC20 homolog 1) (Homolog of CDC twenty 1)	P53197					
									
YGL002W	ERP6	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; ERP6 has a paralog, ERP1, that arose from the whole genome duplication	Protein ERP6	P53198					
									
YGL001C	ERG26	C-3 sterol dehydrogenase; catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; human homolog NSDHL implicated in CK syndrome, and can complement yeast null mutant; molecular target of natural product and antifungal compound FR171456	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170)	P53199					
									
CEN7	CEN7	Chromosome VII centromere							
									
									
									
YGR001C	EFM5	S-adenosylmethionine-dependent lysine methyltransferase; involved in the trimethylation of eEF1A (Tef1p/Tef2p) at lysine 79; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; required for replication of Brome mosaic virus in budding yeast; expresses a circular RNA; originally misclassified as a N-6-adenine specific DNA methyltransferase based on sequence similarity; both Efm5p and human ortholog N6AMT2 can methylate eEF1a from either species in vitro	Protein-lysine N-methyltransferase EFM5 (EC 2.1.1.-) (Elongation factor methyltransferase 5) (N(6)-adenine-specific DNA methyltransferase-like 1)	P53200					
									
									
									
									
									
YGR002C	SWC4	Component of the Swr1p complex that incorporates Htz1p into chromatin; component of the NuA4 histone acetyltransferase complex	SWR1-complex protein 4 (ESA1-associated factor 2)	P53201					
									
YGR003W	CUL3	Ubiquitin-protein ligase; forms a complex with Elc1p that polyubiquitylates monoubiquitylated RNA polymerase II to trigger its proteolysis; cullin family member with similarity to Cdc53p and human CUL3	Cullin-3 (Cullin-B)	P53202					
									
YGR004W	PEX31	Peroxisomal integral membrane protein; involved in negative regulation of peroxisome size; partially functionally redundant with Pex30p and Pex32p; probably acts at a step downstream of steps mediated by Pex28p and Pex29p; PEX31 has a paralog, PEX30, that arose from the whole genome duplication	Peroxisomal membrane protein PEX31 (Peroxin-31)	P53203					
									
YGR005C	TFG2	TFIIF (Transcription Factor II) middle subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP30	Transcription initiation factor IIF subunit beta (TFIIF medium subunit) (TFIIF-beta) (Transcription factor G 54 kDa subunit)	P41896					
									
YGR006W	PRP18	Splicing factor and component of snRNP U5; factor involved in the positioning of the 3' splice site during the second catalytic step of splicing; interacts with Slu7p	Pre-mRNA-splicing factor 18	P33411					
									
YGR007W	ECT1	Ethanolamine-phosphate cytidylyltransferase; catalyzes the second step of phosphatidylethanolamine biosynthesis; involved in the maintenance of plasma membrane; similar to mammalian CTP: phosphocholine cytidylyl-transferases; inability of the null mutant to synthesize phosphatidylethanolamine and phosphatidylcholine from ethanolamine is functionally complemented by human PCYT2	Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase)	P33412					
									
YGR008C	STF2	Protein involved in resistance to desiccation stress; Stf2p exhibits antioxidant properties, and its overexpression prevents ROS accumulation and apoptosis; binds to F0 sector of mitochondrial F1F0 ATPase in vitro and may modulate the inhibitory action of Inh1p and Stf1p; protein abundance increases in response to DNA replication stress; STF2 has a paralog, TMA10, that arose from the whole genome duplication	ATPase-stabilizing factor 15 kDa protein	P16965					
									
ARS720		Autonomously Replicating Sequence							
									
YGR009C	SEC9	t-SNARE protein required for secretory vesicle-plasma membrane fusion; similar to but not functionally redundant with Spo20p; interacts non-exocyst bound Sec6p; SNAP-25 homolog	Protein transport protein SEC9	P40357					
									
YGR010W	NMA2	Nicotinic acid mononucleotide adenylyltransferase; catalyzes the transfer of the adenylyl moiety of ATP to nicotinamide mononucleotide to form NAD; involved in de novo and salvage synthesis of NAD(+); homolog of human NMNAT; NMA2 has a paralog, NMA1, that arose from the whole genome duplication	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 (NMN/NaMN adenylyltransferase 2) (EC 2.7.7.1) (EC 2.7.7.18) (NAD(+) diphosphorylase 2) (NAD(+) pyrophosphorylase 2) (Nicotinamide-nucleotide adenylyltransferase 2) (NMN adenylyltransferase 2) (NMNAT 2) (Nicotinate-nucleotide adenylyltransferase 2) (NaMN adenylyltransferase 2) (NaMNAT 2)	P53204					
									
YGR011W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YGR012W	MCY1	Putative cysteine synthase; localized to the mitochondrial outer membrane	Putative cysteine synthase (CS) (EC 2.5.1.47) (Cysteine synthase-like protein) (CSl) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase)	P53206					
									
YGR013W	SNU71	Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific, no metazoan counterpart	U1 small nuclear ribonucleoprotein component SNU71	P53207					
									
YGR014W	MSB2	Mucin family member involved in various signaling pathways; functions as osmosensor in the Sho1p-mediated HOG pathway; functions in Cdc42p- and MAP kinase-dependent filamentous growth signaling pathway; processed into secreted and cell-associated forms by aspartyl protease Yps1p; potential Cdc28p substrate	Signaling mucin MSB2 (Multicopy suppressor of bud emergence 2) (Osmosensor MSB2)	P32334			35		
									
YGR015C		Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion	Ethanol acetyltransferase 1 (EC 2.3.1.268) (Acetyl-CoA hydrolase) (EC 3.1.2.1) (Acetyl-CoA thioesterase) (Alcohol acetyltransferase) (AAT) (Ethyl acetate esterase) (EC 3.1.1.-)	P53208					
									
YGR016W		Putative protein of unknown function	Uncharacterized membrane protein YGR016W	P53209					
									
YGR017W		Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the cytoplasm	Uncharacterized protein YGR017W	P53210					
									
YGR018C		Protein of unknown function; mRNA identified as translated by ribosome profiling data; partially overlaps the uncharacterized ORF YGR017W	Uncharacterized protein YGR018C	P53211					
									
YGR019W	UGA1	Gamma-aminobutyrate (GABA) transaminase; also known as 4-aminobutyrate aminotransferase; involved in the 4-aminobutyrate and glutamate degradation pathways; required for normal oxidative stress tolerance and nitrogen utilization; protein abundance increases in response to DNA replication stress	4-aminobutyrate aminotransferase (EC 2.6.1.19) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase)	P17649					
									
YGR020C	VMA7	Subunit F of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane; the V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase) has eight subunits	V-type proton ATPase subunit F (V-ATPase subunit F) (V-ATPase 14 kDa subunit) (Vacuolar proton pump subunit F)	P39111					
									
YGR021W		Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	Probable transcriptional regulatory protein HAH1	P53212					
									
YGR023W	MTL1	Putative plasma membrane sensor; involved in cell integrity signaling and stress response during glucose starvation and oxidative stress; has structural and functional similarity to Mid2p; MTL1 has a paralog, MID2, that arose from the whole genome duplication	Protein MTL1 (MID two-like protein 1)	P53214					
									
YGR022C		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps almost completely with the verified ORF MTL1/YGR023W							
									
tD(GUC)G1		Aspartate tRNA (tRNA-Asp), predicted by tRNAscan-SE analysis							
									
YGR024C	THG1	tRNAHis guanylyltransferase; adds a guanosine residue to the 5' end of tRNAH is after transcription and RNase P cleavage; can also catalyze reverse (3'-5') polymerization with certain substrates in a template-dependent reaction; couples nuclear division and migration to cell budding and cytokinesis; essential enzyme conserved among eukaryotes	tRNA(His) guanylyltransferase (EC 2.7.7.79) (tRNA-histidine guanylyltransferase)	P53215					
									
YGR025W		Putative protein of unknown function; conserved across S. cerevisiae strains	Uncharacterized protein YGR025W	P53216					
									
YGR026W		Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery	Uncharacterized membrane protein YGR026W	P53217					
									
YGR027C	RPS25A	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S25, no bacterial homolog; RPS25A has a paralog, RPS25B, that arose from the whole genome duplication	40S ribosomal protein S25-A (RP45) (S31) (Small ribosomal subunit protein eS25-A) (YS23)	Q3E792					
									
									
YGRWdelta11		Ty1 LTR							
YGRCdelta12		Ty1 LTR							
YGRWdelta13		Ty1 LTR							
YGRWTy1-1		Ty1 element, LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	Transposon Ty1-GR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	Q12141					
YGRWTy1-1		Ty1 element, LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	Transposon Ty1-GR1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	Q12085					
YGR027W-A		Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag	Transposon Ty1-GR1 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	Q12085					
									
YGR027W-B		Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes	Transposon Ty1-GR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	Q12141					
									
									
									
YGRWdelta14		Ty1 LTR							
tE(UUC)G3		Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p; target of K. lactis zymocin							
									
YGR028W	MSP1	Highly-conserved N-terminally anchored AAA-ATPase; distributed in the mitochondrial outer membrane and peroxisomes; involved in mitochondrial protein sorting; functions as an extraction engine in local organelle surveillance to remove and initiate degradation of mistargeted proteins, ensuring fidelity of organelle-specific localization of tail-anchored proteins; contains an N-terminal transmembrane domain and C-terminal cytoplasmic ATPase domain	Protein MSP1 (Tat-binding homolog 4)	P28737					
									
YGR029W	ERV1	Flavin-linked sulfhydryl oxidase of the mitochondrial IMS; N-terminus is an intrinsically disordered domain that in the cytosol helps target Erv1p to mitochondria, and in the intermembrane space oxidizes Mia40p as part of a disulfide relay system that promotes intermembrane space retention of imported proteins; functional ortholog of human GFER (ALR); human GFER carrying N-terminal 21 amino acids of Erv1p functionally complements the lethality of the erv1 null mutation	Mitochondrial FAD-linked sulfhydryl oxidase ERV1 (EC 1.8.3.2) (14 kDa regulatory protein) (Essential for respiration and vegetative growth protein 1)	P27882					
									
									
									
tD(GUC)G2		Aspartate tRNA (tRNA-Asp), predicted by tRNAscan-SE analysis							
									
snR46	SNR46	H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2865							
									
YGR030C	POP6	Subunit of RNase MRP, nuclear RNase P and telomerase; forms a soluble heterodimer with Pop7p that binds P3 domain of RNase MRP and RNase P RNAs; RNase MRP cleaves pre-rRNA, nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs, while telomerase replenishes telomeric DNA; relocalizes to the cytosol in response to hypoxia	Ribonucleases P/MRP protein subunit POP6 (EC 3.1.26.5) (RNA-processing protein POP6) (RNases P/MRP 18.2 kDa subunit)	P53218					
									
YGR031W	IMO32	Conserved mitochondrial protein of unknown function; processed by both mitochondrial processing peptidase and mitochondrial octapeptidyl aminopeptidase; gene contains the nested antisense gene NAG1	Probable alcohol acetyltransferase (AAT) (EC 2.3.1.-) (Intermediate cleaved by mitochondrial octapeptidyl aminopeptidase protein 32)	P53219					
									
YGR031C-A	NAG1	Protein involved in yeast cell wall biogenesis; localizes to the cell periphery; production of Nag1p is dependent upon the presence of Slt2p and Rlm1p; gene is nested within and antisense to IMO32	Protein NAG1 (Nested antisense gene 1 protein)	Q8TGN9					
									
YGR032W	GSC2	Catalytic subunit of 1,3-beta-glucan synthase; involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; GSC2 has a paralog, FKS1, that arose from the whole genome duplication	1,3-beta-glucan synthase component GSC2 (EC 2.4.1.34) (1,3-beta-D-glucan-UDP glucosyltransferase) (FK506 sensitivity protein 2) (Glucan synthase of cerevisiae protein 2)	P40989					
									
YGR033C	TIM21	Nonessential component of the TIM23 complex; interacts with the Translocase of the Outer Mitochondrial membrane (TOM complex) and with respiratory enzymes; may regulate the Translocase of the Inner Mitochondrial membrane (TIM23 complex) activity	Mitochondrial import inner membrane translocase subunit TIM21	P53220					
									
YGR034W	RPL26B	Ribosomal 60S subunit protein L26B; binds to 5.8S rRNA; non-essential even when paralog is also deleted; deletion has minimal affections on ribosome biosynthesis; homologous to mammalian ribosomal protein L26 and bacterial L24; RPL26B has a paralog, RPL26A, that arose from the whole genome duplication	60S ribosomal protein L26-B (L33) (Large ribosomal subunit protein uL24-B) (YL33)	P53221					
									
									
									
YGR035C		Putative protein of unknown function, potential Cdc28p substrate; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; YGR035C has a paralog, YLR346C, that arose from the whole genome duplication	Uncharacterized protein YGR035C	P53222					
									
YGR035W-A		Putative protein of unknown function	Uncharacterized protein YGR035W-A	Q45U48					
									
YGR036C	CAX4	Dolichyl pyrophosphate (Dol-P-P) phosphatase; has a luminally oriented active site in the ER; cleaves the anhydride linkage in Dol-P-P; required for Dol-P-P-linked oligosaccharide intermediate synthesis and protein N-glycosylation	Dolichyldiphosphatase (EC 3.6.1.43) (Dolichyl pyrophosphate phosphatase)	P53223					
									
YGR037C	ACB1	Acyl-CoA-binding protein; transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes; subject to starvation-induced, Grh1p-mediated unconventional secretion; protein abundance increases in response to DNA replication stress	Acyl-CoA-binding protein (ACBP)	P31787					
									
YGR038W	ORM1	Protein that mediates sphingolipid homeostasis; evolutionarily conserved, required for resistance to agents that induce unfolded protein response; Orm1p and Orm2p together control membrane biogenesis by coordinating lipid homeostasis with protein quality control; ORM1 has a paralog, ORM2, that arose from the whole genome duplication	Protein ORM1	P53224					
									
tS(AGA)G		Serine tRNA (tRNA-Ser), predicted by tRNAscan-SE analysis							
									
YGRCdelta15		Ty1 LTR							
YGR038C-B		Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes	Transposon Ty1-GR2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	Q12269					
									
									
									
YGR038C-A		Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag	Transposon Ty1-GR2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	Q12485					
									
YGRCTy1-2		Ty1 element, LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	Transposon Ty1-GR2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	Q12269					
YGRCTy1-2		Ty1 element, LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	Transposon Ty1-GR2 Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	Q12485					
YGRCdelta16		Ty1 LTR							
ARS721		Autonomously Replicating Sequence							
									
YGRCdelta17		Ty2 LTR							
ARS722		Autonomously Replicating Sequence							
									
YGRCTy2-1		Ty2 element, LTR retrotransposon of the Copia (Pseudoviridae) group; contains genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats; mutated in S288C							
YGRCdelta18		Ty2 LTR							
YGR039W		Putative protein of unknown function; conserved among S. cerevisiae strains; YGR039W is not an essential gene	Uncharacterized protein YGR039W	P53225					
									
YGR040W	KSS1	Mitogen-activated protein kinase (MAPK); involved in signal transduction pathways that control filamentous growth and pheromone response; regulates septum assembly, and may directly phosphorylate Bni4p; the KSS1 gene is nonfunctional in S288C strains and functional in W303 strains	Mitogen-activated protein kinase KSS1 (MAP kinase KSS1) (EC 2.7.11.24) (Kinase suppressor of SST2)	P14681		TRUE			
									
ARS723		Putative replication origin; identified in multiple array studies, not yet confirmed by plasmid-based assay							
YGR041W	BUD9	Protein involved in bud-site selection; mutant has increased aneuploidy tolerance; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern, and bud at the distal pole; BUD9 has a paralog, BUD8, that arose from the whole genome duplication	Bud site selection protein 9	P53226			12		
									
YGR042W	MTE1	Protein of unknown function; involved in maintenance of proper telomere length; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus; forms nuclear foci upon DNA replication stress	Uncharacterized protein YGR042W	P53227			98		
									
YGR043C	NQM1	Transaldolase of unknown function; transcription is repressed by Mot1p and induced by alpha-factor and during diauxic shift; NQM1 has a paralog, TAL1, that arose from the whole genome duplication	Transaldolase NQM1 (EC 2.2.1.2) (Non-quiescent mutant protein 1)	P53228					
									
ARS724		Putative replication origin; identified in multiple array studies, not yet confirmed by plasmid-based assay							
YGR044C	RME1	Zinc finger protein involved in control of meiosis; prevents meiosis by repressing IME1 expression and promotes mitosis by activating CLN2 expression; directly repressed by a1-alpha2 regulator; mediates cell type control of sporulation; relocalizes from nucleus to cytoplasm upon DNA replication stress	Zinc finger protein RME1	P32338	TRUE		3		
									
YGR045C		Putative protein of unknown function; conserved across S. cerevisiae strains	Uncharacterized protein YGR045C	P53229					
									
YGR046W	TAM41	Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import, likely due to altered membrane lipid composition	Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial import protein MMP37) (Mitochondrial matrix protein of 37 kDa) (Mitochondrial translocator assembly and maintenance protein 41)	P53230					
									
