orf_id	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation
CNAG_06548			endoplasmic reticulum protein	Endoplasmic reticulum protein	endoplasmic reticulum protein	EMC1_CHICKE|R membrane protein complex subunit 1 OS=Gallus gallus OX=9031 GN=EMC1 PE=2 SV=1
CNAG_06549			mRNA-capping enzyme subunit beta	mRNA-capping enzyme subunit beta	mRNA-capping enzyme subunit beta	CET1_CRYN|JmRNA-capping enzyme subunit beta OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=CET1 PE=3 SV=1
CNAG_06550			nucleoporin family protein	Nucleoporin family protein	nucleoporin family protein	NU146_SCHPO|Nucleoporin nup146 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=nup146 PE=1 SV=1
CNAG_06551			carnitine O-acetyltransferase	Carnitine O-acetyltransferase	Carnitine O-acetyltransferase	CACM_YEAST|Putative mitochondrial carnitine O-acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YAT1 PE=1 SV=2
CNAG_06552			CAMK/CAMKL/AMPK protein kinase	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	CAMK/CAMKL/AMPK protein kinase	SNF1_CANTR|Carbon catabolite-derepressing protein kinase OS=Candida tropicalis OX=5482 GN=SNF1 PE=3 SV=1
CNAG_06553			hypothetical protein	Uncharacterized protein	hypothetical protein	FLO6_ORYSJ|Protein FLOURY ENDOSPERM 6, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=FLO6 PE=1 SV=1
CNAG_06554			FAD dependent oxidoreductase	FAD dependent oxidoreductase	FAD dependent oxidoreductase	
CNAG_06555			aromatic amino acid aminotransferase I	Aromatic amino acid aminotransferase I	aromatic amino acid aminotransferase I	AATR2_SCHPO|Aromatic amino acid aminotransferase C1773.13 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC1773.13 PE=3 SV=1
CNAG_06556			oxidoreductase	Oxidoreductase	oxidoreductase	GYAR_THEKO|Glyoxylate reductase OS=Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) OX=69014 GN=gyaR PE=3 SV=1
CNAG_06557			membrane protein	Membrane protein	membrane protein	
CNAG_06558			NADPH-ferrihemoprotein reductase	NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase)	NADPH-ferrihemoprotein reductase	NDOR1_CRYNBNADP|H-dependent diflavin oxidoreductase 1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=TAH18 PE=3 SV=1
CNAG_06559			cysteine and glycine-rich protein	Cysteine and glycine-rich protein	cysteine and glycine-rich protein	TGFI1_MOUSE|Transforming growth factor beta-1-induced transcript 1 protein OS=Mus musculus OX=10090 GN=Tgfb1i1 PE=1 SV=2
CNAG_06560			esterase	Esterase	esterase	EST_ACILW|Esterase OS=Acinetobacter lwoffii OX=28090 GN=est PE=3 SV=2
CNAG_06561			allantoate transporter	Allantoate transporter	allantoate transporter	BXLB_ASPOR|Probable exo-1,4-beta-xylosidase bxlB OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=bxlB PE=3 SV=1
CNAG_06562			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06563			eukaryotic translation initiation factor 3 subunit F	Eukaryotic translation initiation factor 3 subunit F (eIF3f)	translation initiation factor 3 subunit F	EIF3F_CRYNB|Eukaryotic translation initiation factor 3 subunit F OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=CNBF0360 PE=3 SV=1
CNAG_06564			clathrin-coated vesicle protein	Clathrin-coated vesicle protein	clathrin-coated vesicle protein	SIP1_SCHPO|Pof6 interactor protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sip1 PE=1 SV=1
CNAG_06565			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06566			hypothetical protein	Uncharacterized protein	hypothetical protein	ART1B_SCHPO|Protein-glutamate O-methyltransferase C1393.13 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC1393.13 PE=3 SV=1
CNAG_06567			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06568			RAN protein kinase	RAN protein kinase	RAN protein kinase	RAN1_SCHPO|Negative regulator of sexual conjugation and meiosis OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ran1 PE=1 SV=2
CNAG_06569			membrane transporter	Membrane transporter	membrane transporter	YKT8_SCHPO|Uncharacterized MFS-type transporter PB1E7.08c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAPB1E7.08c PE=1 SV=1
CNAG_06570			hypothetical protein	Uncharacterized protein	hypothetical protein	MT21_CAEEL|Protein-lysine methyltransferase C42C1.13 OS=Caenorhabditis elegans OX=6239 GN=C42C1.13 PE=3 SV=1
CNAG_06573			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06574	APP1		antiphagocytic protein 1	Antiphagocytic protein 1	antiphagocytic protein 1	
CNAG_06576	CAR1		allergen	Allergen	cAMP-regulated gene 1	
CNAG_06577			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06578			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06583			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06584			hypothetical protein	Uncharacterized protein	hypothetical protein	MCH1_WICAO|Probable transporter MCH1 OS=Wickerhamomyces anomalus OX=4927 GN=MCH1 PE=3 SV=1
CNAG_06585			pre-mRNA-splicing helicase BRR2	Pre-mRNA-splicing helicase BRR2	pre-mRNA-splicing helicase BRR2	U520_HUMAN|U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2
CNAG_06587			cytoplasmic protein	Cytoplasmic protein	cytoplasmic protein	DSP3_ARATH|Tyrosine-protein phosphatase DSP3 OS=Arabidopsis thaliana OX=3702 GN=DSP3 PE=1 SV=1
CNAG_06588			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_06589			endoribonuclease L-PSP	Endoribonuclease L-PSP	endoribonuclease L-PSP	
CNAG_06590			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_06591	SET302		hypothetical protein	Uncharacterized protein	histone deacetylase complex subunit, putative	SET3_YEASTSE|T domain-containing protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SET3 PE=1 SV=1
CNAG_06592	UBC7		ubiquitin-conjugating enzyme E2 G1	Ubiquitin-conjugating enzyme E2 G1	ubiquitin-conjugating enzyme E2 G1	UBC7_CAEEL|Probable ubiquitin-conjugating enzyme E2 7 OS=Caenorhabditis elegans OX=6239 GN=ubc-7 PE=1 SV=1
CNAG_06593			rhamnogalacturonan lyase	Rhamnogalacturonan lyase	rhamnogalacturonan lyase	RGLB_ASPFN|Probable rhamnogalacturonate lyase B OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167) OX=332952 GN=rglB PE=3 SV=1
CNAG_06594			oxysterol binding protein	Oxysterol binding protein	oxysterol binding protein	KES1_USTMA|Protein KES1 OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=KES1 PE=3 SV=1
CNAG_06595			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06596			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06597	SPT8		transcriptional activator SPT8	Transcriptional activator SPT8	transcriptional activator SPT8	SPT8_SCHPO|Transcription factor spt8 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=spt8 PE=3 SV=1
CNAG_06598			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_06599			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06600			vesicle-fusing ATPase	Vesicle-fusing ATPase	vesicle-fusing ATPase	SEC18_SCHPO|Vesicular-fusion protein sec18 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sec18 PE=1 SV=1
CNAG_06601			amidohydrolase	Amidohydrolase	amidohydrolase	YTCJ_BACSU|Putative amidohydrolase YtcJ OS=Bacillus subtilis (strain 168) OX=224308 GN=ytcJ PE=3 SV=1
CNAG_06602			cysteine-type peptidase	Cysteine-type peptidase	cysteine-type peptidase	
CNAG_06603			di- and tripeptidase	Di-and tripeptidase	di- and tripeptidase	DUG2_YEAST|Probable di- and tripeptidase DUG2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DUG2 PE=1 SV=1
CNAG_06604			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06605			small subunit ribosomal protein S2	Small subunit ribosomal protein S2	small subunit ribosomal protein S2	RS2_ICTPU40|S ribosomal protein S2 OS=Ictalurus punctatus OX=7998 GN=rps2 PE=2 SV=1
CNAG_06606	RHO104		rho family protein	Rho family protein	rho family GTPase	RHO2_SCHPOGT|P-binding protein rho2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rho2 PE=1 SV=1
CNAG_06607			DNA polymerase alpha subunit A	DNA polymerase (EC 2.7.7.7)	DNA polymerase alpha subunit A	DPOA_SCHPODN|A polymerase alpha catalytic subunit OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pol1 PE=1 SV=1
CNAG_06608			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06609			hypothetical protein	Uncharacterized protein	hypothetical protein	HPXO_ACIADFA|D-dependent urate hydroxylase OS=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) OX=62977 GN=hpxO PE=1 SV=1
CNAG_06610			MFS transporter	MFS transporter	MFS transporter	ATB_ASPTN|Efflux pump atB OS=Aspergillus terreus (strain NIH 2624 / FGSC A1156) OX=341663 GN=atB PE=3 SV=1
CNAG_06611			DNA-directed RNA polymerase I subunit RPA2	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	DNA-directed RNA polymerase I subunit RPA2	RPA2_SCHPO|Probable DNA-directed RNA polymerase I subunit RPA2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rpa2 PE=3 SV=2
CNAG_06612			hypothetical protein	Uncharacterized protein	hypothetical protein	SDE2_SCHPO|Telomere maintenance protein SDE2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sde2 PE=3 SV=1
CNAG_06613			endoplasmic reticulum protein	Endoplasmic reticulum protein	endoplasmic reticulum protein	YNF5_SCHPO|Uncharacterized J domain-containing protein C17A3.05c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pi041 PE=1 SV=1
CNAG_06614			glycerophosphodiesterase	Glycerophosphodiesterase	glycerophosphodiesterase	
CNAG_06616			hypothetical protein	Uncharacterized protein	hypothetical protein	RED_HUMAN|Protein Red OS=Homo sapiens OX=9606 GN=IK PE=1 SV=3
CNAG_06617			hypothetical protein	Uncharacterized protein	hypothetical protein	NTPES_BACSU|Trifunctional nucleotide phosphoesterase protein YfkN OS=Bacillus subtilis (strain 168) OX=224308 GN=yfkN PE=1 SV=1
CNAG_06620			mitochondrial Rho GTPase 1	Mitochondrial Rho GTPase (EC 3.6.5.-)	mitochondrial Rho GTPase 1	GEM1_CRYNB|Mitochondrial Rho GTPase 1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=GEM1 PE=3 SV=1
CNAG_06621			biotin synthase	Biotin synthase	biotin synthase	BIOB_SCHPO|Biotin synthase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=bio2 PE=1 SV=1
CNAG_06622			hypothetical protein	Protein yippee-like	hypothetical protein, hypothetical protein, variant	YIPL7_ARATH|Protein yippee-like At5g53940 OS=Arabidopsis thaliana OX=3702 GN=At5g53940 PE=2 SV=1
CNAG_06622			hypothetical protein	Protein yippee-like	hypothetical protein, hypothetical protein, variant	YPEL2_BOVIN|Protein yippee-like 2 OS=Bos taurus OX=9913 GN=YPEL2 PE=3 SV=1
CNAG_06622			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	YIPL7_ARATH|Protein yippee-like At5g53940 OS=Arabidopsis thaliana OX=3702 GN=At5g53940 PE=2 SV=1
CNAG_06622			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	YPEL2_BOVIN|Protein yippee-like 2 OS=Bos taurus OX=9913 GN=YPEL2 PE=3 SV=1
CNAG_06623			inositol oxygenase	Inositol oxygenase	inositol oxygenase	MIOX_ORYSJ|Probable inositol oxygenase OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0561000 PE=2 SV=1
CNAG_06624			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06625			UBX domain-containing protein 1	UBX domain-containing protein 1	UBX domain-containing protein 1	UBX3_SCHPOUB|X domain-containing protein 3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ubx3 PE=1 SV=1
CNAG_06626			pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43	DHX15_SCHPO|Probable pre-mRNA-splicing factor ATP-dependent RNA helicase prp43 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=prp43 PE=3 SV=1
CNAG_06627			pre-mRNA-processing factor 40	Pre-mRNA-processing factor 40	pre-mRNA-processing factor 40	PRP40_SCHPO|Pre-mRNA-processing protein prp40 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=prp40 PE=1 SV=1
CNAG_06628			aldehyde dehydrogenase (NAD )	Aldehyde dehydrogenase (NAD )	aldehyde dehydrogenase (NAD)	ALDH_AGABI|Aldehyde dehydrogenase OS=Agaricus bisporus OX=5341 GN=aldA PE=3 SV=1
CNAG_06629			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06630			import inner membrane translocase subunit tim44	Mitochondrial import inner membrane translocase subunit TIM44	import inner membrane translocase subunit tim44	TIM44_YEAST|Mitochondrial import inner membrane translocase subunit TIM44 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM44 PE=1 SV=1
CNAG_06631			myosin heavy chain	Myosin heavy chain	myosin heavy chain	
CNAG_06632			Atypical/ABC1 protein kinase	Atypical/ABC1 protein kinase	Atypical/ABC1 protein kinase	YF9E_SCHPOAB|C1 family protein C10F6.14c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC10F6.14c PE=3 SV=1
CNAG_06633			small subunit ribosomal protein S15	Small subunit ribosomal protein S15	small subunit ribosomal protein S15	RS15_PODAS40|S ribosomal protein S15 OS=Podospora anserina OX=5145 GN=RPS15 PE=3 SV=1
CNAG_06634			DNA polymerase epsilon subunit B	DNA polymerase epsilon subunit (EC 2.7.7.7) (DNA polymerase II subunit 2)	DNA polymerase epsilon subunit B	DPB2_CRYNBDN|A polymerase epsilon subunit B OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=DPB2 PE=3 SV=1
CNAG_06635			CCR4-NOT transcription complex subunit 3	CCR4-NOT transcription complex subunit 3	CCR4-NOT transcription complex subunit 3	NOT3_SCHPO|General negative regulator of transcription subunit 3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=not3 PE=1 SV=2
CNAG_06636			hypothetical protein	Uncharacterized protein	hypothetical protein	C3H14_ARATH|Zinc finger CCCH domain-containing protein 14 OS=Arabidopsis thaliana OX=3702 GN=At1g66810 PE=2 SV=1
CNAG_06637			ubiquitin carboxyl-terminal hydrolase 22/27/51	Ubiquitinyl hydrolase 1 (EC 3.4.19.12)	ubiquitin carboxyl-terminal hydrolase 22/27/51	UB22B_XENLA|Ubiquitin carboxyl-terminal hydrolase 22-B OS=Xenopus laevis OX=8355 GN=usp22-b PE=2 SV=2
CNAG_06638			malate dehydrogenase (oxaloacetate-decarboxylating)	Malic enzyme	malate dehydrogenase (oxaloacetate- decarboxylating)	MAO3_BACSU|Probable NAD-dependent malic enzyme 3 OS=Bacillus subtilis (strain 168) OX=224308 GN=malS PE=3 SV=1
CNAG_06639			E3 ubiquitin-protein ligase MARCH6	E3 ubiquitin-protein ligase MARCH6	E3 ubiquitin-protein ligase MARCH6	DOA10_SCHPOERA|D-associated E3 ubiquitin-protein ligase doa10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=doa10 PE=1 SV=1
CNAG_06640			cathepsin A (carboxypeptidase C)	Carboxypeptidase (EC 3.4.16.-)	cathepsin A (carboxypeptidase C)	CBPYA_UNCRE|Carboxypeptidase Y homolog A OS=Uncinocarpus reesii (strain UAMH 1704) OX=336963 GN=cpyA PE=3 SV=1
CNAG_06641			DNA-directed RNA polymerase III subunit RPC6	DNA-directed RNA polymerase III subunit RPC6	DNA-directed RNA polymerase III subunit RPC6	
CNAG_06642	TOR1		Atypical/PIKK/FRAP protein kinase	Serine/threonine-protein kinase TOR (EC 2.7.11.1)	Atypical/PIKK/FRAP protein kinase	TOR2_SCHPO|Serine/threonine-protein kinase tor2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tor2 PE=1 SV=2
CNAG_06643			ribonuclease III	Ribonuclease III	ribonuclease III	RNC_LISW6|Ribonuclease 3 OS=Listeria welshimeri serovar 6b (strain ATCC 35897 / DSM 20650 / SLCC5334) OX=386043 GN=rnc PE=3 SV=1
CNAG_06644	ERG5		C-22 sterol desaturase	C-22 sterol desaturase	C-22 sterol desaturase	ERG5_SCHPO|Cytochrome P450 61 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=erg5 PE=1 SV=3
CNAG_06645	MTD1		methylenetetrahydrofolate dehydrogenase (NAD )	Methylenetetrahydrofolate dehydrogenase (NAD )	methylenetetrahydrofolate dehydrogenase (NAD)	MTD1_SCHPO|Methylenetetrahydrofolate dehydrogenase
CNAG_06646	YOP1		protein YOP1	Protein YOP1	protein yop1	YOP1_CRYNB|Protein YOP1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=YOP1 PE=3 SV=1
CNAG_06647			hypothetical protein	Uncharacterized protein	hypothetical protein	CDC1_YEAST|Cell division control protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC1 PE=1 SV=2
CNAG_06648	RTF1		RNA polymerase-associated protein RTF1	RNA polymerase-associated protein RTF1	RNA polymerase-associated protein RTF1	RTF1_SCHPORN|A polymerase-associated protein C651.09c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC651.09c PE=1 SV=1
CNAG_06649			haloacid dehalogenase, type II	Haloacid dehalogenase, type II	Haloacid dehalogenase, type II	
CNAG_06650			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_06651			amidohydrolase	Amidohydrolase	amidohydrolase	YJV3_YEAST|Uncharacterized protein YJL213W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJL213W PE=3 SV=1
CNAG_06652			allantoate permease	Allantoate permease	allantoate permease	YC7A_SCHPO|Uncharacterized transporter C417.10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC417.10 PE=3 SV=1
CNAG_06653			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_06654			hypothetical protein	Uncharacterized membrane protein	hypothetical protein	SGMR2_XENTR|Sigma intracellular receptor 2 OS=Xenopus tropicalis OX=8364 GN=tmem97 PE=2 SV=1
CNAG_06655	GPI8		phosphatidylinositol glycan, class K	GPI-anchor transamidase (GPI transamidase) (EC 3.-.-.-)	GPI-anchor transamidase	GPI8_YEASTGP|I-anchor transamidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPI8 PE=1 SV=1
CNAG_06656			diphthine synthase	Diphthine synthase	Diphthine synthase	DPH5_EMENI|Diphthine methyl ester synthase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=dph5 PE=3 SV=2
CNAG_06657			hypothetical protein	Uncharacterized protein	hypothetical protein	FKBP5_RHIO9F|K506-binding protein 5 OS=Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880) OX=246409 GN=FKBP5 PE=3 SV=1
CNAG_06658			rhomboid family membrane protein	Rhomboid-like protein (EC 3.4.21.-)	rhomboid family membrane protein	Y0929_EMENI|Uncharacterized rhomboid protein AN10929 OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=AN10929 PE=3 SV=1
CNAG_06659	HEX1		hexosaminidase	Beta-hexosaminidase (EC 3.2.1.52)	beta-hexosaminidase	HEXO2_ARATH|Beta-hexosaminidase 2 OS=Arabidopsis thaliana OX=3702 GN=HEXO2 PE=1 SV=1
CNAG_06660			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06661			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06662			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06663			ubiquinol-cytochrome c reductase subunit 6	Ubiquinol-cytochrome c reductase subunit 6	ubiquinol-cytochrome c reductase subunit 6	
CNAG_06664			sorting nexin MVP1	Sorting nexin MVP1	sorting nexin Mvp1	MVP1_CRYNB|Sorting nexin MVP1 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=MVP1 PE=3 SV=1
CNAG_06665			hypothetical protein	Uncharacterized protein	hypothetical protein	GYP8_YEASTGT|Pase-activating protein GYP8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GYP8 PE=1 SV=1
CNAG_06666			starch phosphorylase	Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)	starch phosphorylase	PHS1_DICDI|Glycogen phosphorylase 1 OS=Dictyostelium discoideum OX=44689 GN=glpV PE=1 SV=3
CNAG_06667			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06668			mitochondrial protein	Mitochondrial protein	mitochondrial protein	RCF2_YEAST|Respiratory supercomplex factor 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RCF2 PE=1 SV=1
CNAG_06669			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06670			HIV Tat-specific factor 1	HIV Tat-specific factor 1	HIV Tat-specific factor 1	UAP2_SCHPO|Splicing factor U2AF-associated protein 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=uap2 PE=1 SV=1
CNAG_06671			TKL protein kinase	TKL protein kinase	TKL protein kinase	SIS8_ARATH|Probable serine/threonine-protein kinase SIS8 OS=Arabidopsis thaliana OX=3702 GN=SIS8 PE=1 SV=1
CNAG_06672			formate dehydrogenase	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)	formate dehydrogenase	FDH_NEUCR|Formate dehydrogenase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=fdh PE=2 SV=1
CNAG_06673			hypothetical protein	Uncharacterized protein	hypothetical protein	MTC1_SCHPO|Maintenance of telomere capping protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC1322.09 PE=3 SV=1
CNAG_06674			hypothetical protein	Uncharacterized protein	hypothetical protein	GEF2_SCHPO|Rho guanine nucleotide exchange factor gef2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=gef2 PE=1 SV=1
CNAG_06675			hypothetical protein	Uncharacterized protein	hypothetical protein	VPS8_HUMAN|Vacuolar protein sorting-associated protein 8 homolog OS=Homo sapiens OX=9606 GN=VPS8 PE=1 SV=3
CNAG_06676			hypothetical protein	Uncharacterized protein	hypothetical protein	YL271_MIMIV|Putative ankyrin repeat protein L271 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_L271 PE=4 SV=1
CNAG_06677			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06678	CSR1		enzyme activator	Enzyme activator	putative chitin synthase regulator	CHR3_SCHPO|Chitin synthase regulatory factor 3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=chr3 PE=1 SV=1
CNAG_06679			anthranilate synthase component I	Anthranilate synthase component I	anthranilate synthase component I	TRPE_SCHPO|Probable anthranilate synthase component 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=trp3 PE=1 SV=1
CNAG_06680			COP9 signalosome complex subunit 6	COP9 signalosome complex subunit 6	COP9 signalosome complex subunit 6	CSN6_DICDICO|P9 signalosome complex subunit 6 OS=Dictyostelium discoideum OX=44689 GN=csn6 PE=1 SV=1
CNAG_06681			hypothetical protein	Uncharacterized protein	hypothetical protein	NBR1_HUMAN|Next to BRCA1 gene 1 protein OS=Homo sapiens OX=9606 GN=NBR1 PE=1 SV=3
CNAG_06683			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06684			pre-rRNA-processing protein IPI3	Pre-rRNA-processing protein IPI3	pre-rRNA-processing protein IPI3	PWP2_YEAST|Periodic tryptophan protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PWP2 PE=1 SV=2
CNAG_06685			U2-associated protein SR140	U2-associated protein SR140	U2-associated protein SR140	SR140_HUMAN|U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2
CNAG_06686			hypothetical protein	Uncharacterized protein	hypothetical protein	PIP30_MOUSEPSM|E3-interacting protein OS=Mus musculus OX=10090 GN=Fam192a PE=1 SV=1
CNAG_06687			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06688			mitofusin	Mitofusin	mitofusin	FZO1_SCHPO|Transmembrane GTPase fzo1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=fzo1 PE=3 SV=1
CNAG_06689			cytoplasmic protein	Cytoplasmic protein	cytoplasmic protein	DRG2_BOVIN|Developmentally-regulated GTP-binding protein 2 OS=Bos taurus OX=9913 GN=DRG2 PE=2 SV=1
CNAG_06690			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06691			tuftelin-interacting protein 11	Tuftelin-interacting protein 11	tuftelin-interacting protein 11	YKR3_SCHPO|G-patch domain-containing protein C1486.03 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC1486.03c PE=3 SV=1
CNAG_06692			glucosamine-phosphate N-acetyltransferase	Glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4)	glucosamine-phosphate N-acetyltransferase	GNA1_DICDI|Glucosamine 6-phosphate N-acetyltransferase 1 OS=Dictyostelium discoideum OX=44689 GN=gna1 PE=3 SV=1
CNAG_06693			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_06694	URO2		hydroxyisourate hydrolase	5-hydroxyisourate hydrolase (HIU hydrolase) (HIUHase) (EC 3.5.2.17)	hydroxyisourate hydrolase	HIUH_DANR|E5-hydroxyisourate hydrolase OS=Danio rerio OX=7955 GN=urah PE=1 SV=1
